CustomerID,sensor_id,timestamp,distance
1,sd_id_1,2020-07-29 Time:03:57:48,108
1,sd_id_1,2020-07-29 Time:03:57:58,139
1,sd_id_1,2020-07-29 Time:03:58:08,20
1,sd_id_1,2020-07-29 Time:03:58:18,108
1,sd_id_1,2020-07-29 Time:03:58:28,77
1,sd_id_1,2020-07-29 Time:03:58:38,140
1,sd_id_1,2020-07-29 Time:03:58:48,82
1,sd_id_1,2020-07-29 Time:03:58:58,19
1,sd_id_1,2020-07-29 Time:03:59:08,43
1,sd_id_1,2020-07-29 Time:03:59:18,102
1,sd_id_1,2020-07-29 Time:03:59:28,55
1,sd_id_1,2020-07-29 Time:03:59:38,53
1,sd_id_1,2020-07-29 Time:03:59:48,112
1,sd_id_1,2020-07-29 Time:03:59:58,1
1,sd_id_1,2020-07-29 Time:04:00:08,74
1,sd_id_1,2020-07-29 Time:04:00:18,125
1,sd_id_1,2020-07-29 Time:04:00:28,73
1,sd_id_1,2020-07-29 Time:04:00:38,109
1,sd_id_1,2020-07-29 Time:04:00:48,100
1,sd_id_1,2020-07-29 Time:04:00:58,51
1,sd_id_1,2020-07-29 Time:04:01:08,67
1,sd_id_1,2020-07-29 Time:04:01:18,140
1,sd_id_1,2020-07-29 Time:04:01:28,62
1,sd_id_1,2020-07-29 Time:04:01:38,29
1,sd_id_1,2020-07-29 Time:04:01:48,143
1,sd_id_1,2020-07-29 Time:04:01:58,114
1,sd_id_1,2020-07-29 Time:04:02:08,14
1,sd_id_1,2020-07-29 Time:04:02:18,32
1,sd_id_1,2020-07-29 Time:04:02:28,129
1,sd_id_1,2020-07-29 Time:04:02:38,49
1,sd_id_1,2020-07-29 Time:04:02:48,84
1,sd_id_1,2020-07-29 Time:04:02:58,86
1,sd_id_1,2020-07-29 Time:04:03:08,134
1,sd_id_1,2020-07-29 Time:04:03:18,34
1,sd_id_1,2020-07-29 Time:04:03:28,102
1,sd_id_1,2020-07-29 Time:04:03:38,140
1,sd_id_1,2020-07-29 Time:04:03:48,154
1,sd_id_1,2020-07-29 Time:04:03:58,66
1,sd_id_1,2020-07-29 Time:04:04:08,133
1,sd_id_1,2020-07-29 Time:04:04:18,84
1,sd_id_1,2020-07-29 Time:04:04:28,31
